1,2,2,2,2,13,6,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,
5,0,0,0,0,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
5,0,0,0,0,19,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
5,0,0,0,0,0,0,0,0,0,0,0,15,10,10,10,10,10,10,10,10,16,0,0,15,10,10,10,10,17,
5,0,0,0,0,0,0,0,0,0,0,0,7,6,6,6,6,6,6,6,6,5,0,0,7,6,6,6,6,6,
5,0,0,0,0,0,0,0,0,0,0,15,17,6,14,2,2,2,2,2,2,20,0,0,19,2,2,2,2,13,
5,0,0,0,0,15,10,16,0,0,15,17,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
5,0,0,0,0,7,6,5,0,15,17,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
18,10,10,10,10,17,6,18,10,17,6,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,18,10,16,0,0,0,15,10,10,10,10,16,0,0,0,7,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,0,0,0,7,6,6,6,6,5,0,0,0,7,
6,6,6,6,6,14,2,2,2,2,2,2,2,2,2,2,20,0,0,0,19,2,2,2,2,20,0,0,0,7,
6,6,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
14,2,2,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
5,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,15,16,0,0,15,16,0,0,0,15,10,10,10,17,
5,0,0,0,0,0,0,0,15,16,0,0,19,20,0,0,19,20,0,0,7,5,0,0,0,7,6,6,6,6,
5,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,7,18,10,10,10,17,6,6,6,6,
5,0,0,0,15,16,0,0,7,18,16,0,0,0,0,0,0,0,0,0,7,6,6,6,6,6,6,6,6,6,
9,10,10,10,17,18,10,10,17,6,18,10,10,10,10,10,10,10,10,10,17,6,6,6,6,6,6,6,6,6
